,Symbol,Order No.,Opening Time,Leverage,Direction,Order Type,Filled Type,Filled Qty,Filled Price,Order Price,Trading Fee Rate,Fees Paid,Transaction ID
337,BCHUSDT,850-Sell,2022-04-28 08:00:00,10,Open Short,--,Funding,221.27,306.88,0.00,-6.47e-05,-4.39334594,94d53972
338,BTCUSDT,850-Sell,2022-04-28 08:00:00,7,Open Short,--,Funding,0.922,39394.67,0.00,-0.0001,-3.63218857,a39e3e3d
339,SANDUSDT,850-Sell,2022-04-28 08:00:00,7,Open Short,--,Funding,6840.0,2.5453,0.0000,8.366e-05,1.45650822,6e68feb9
340,BCHUSDT,850-Sell,2022-04-28 00:00:00,10,Open Short,--,Funding,221.27,307.25,0.00,-0.0001,-6.79852075,34659c74
341,SANDUSDT,850-Sell,2022-04-28 00:00:00,7,Open Short,--,Funding,6840.0,2.5302,0.0000,1.867e-05,0.32311363,1d636327
342,BTCUSDT,850-Sell,2022-04-28 00:00:00,7,Open Short,--,Funding,0.922,39235.34,0.00,7.427e-05,2.68671603,e2f75e38
343,BCHUSDT,c065e9d1,2022-04-27 23:18:24,10,Open Short,Limit,Trade,115.21,306.9,306.90,0.0001,3.5357949,cdbb2599
344,BCHUSDT,c065e9d1,2022-04-27 23:18:14,10,Open Short,Limit,Trade,8.81,306.9,306.90,0.0001,0.2703789,c50218e4
345,BCHUSDT,c065e9d1,2022-04-27 23:18:11,10,Open Short,Limit,Trade,7.11,306.9,306.90,0.0001,0.2182059,e5fab252
346,BCHUSDT,c065e9d1,2022-04-27 23:18:11,10,Open Short,Limit,Trade,6.85,306.9,306.90,0.0001,0.2102265,9b750863
347,BCHUSDT,c065e9d1,2022-04-27 23:18:11,10,Open Short,Limit,Trade,5.0,306.9,306.90,0.0001,0.15345,8c974d41
348,BCHUSDT,c065e9d1,2022-04-27 23:18:10,10,Open Short,Limit,Trade,11.89,306.9,306.90,0.0001,0.3649041,c2edfd21
349,BCHUSDT,c065e9d1,2022-04-27 23:18:10,10,Open Short,Limit,Trade,2.73,306.9,306.90,0.0001,0.0837837,030ff617
350,BCHUSDT,c065e9d1,2022-04-27 23:17:40,10,Open Short,Limit,Trade,60.1,306.9,306.90,0.0001,1.844469,9827cf11
351,BCHUSDT,c065e9d1,2022-04-27 22:52:15,10,Open Short,Limit,Trade,0.06,306.9,306.90,0.0001,0.0018414,5c75140f
352,BCHUSDT,c065e9d1,2022-04-27 22:52:05,10,Open Short,Limit,Trade,3.51,306.9,306.90,0.0001,0.1077219,41ec248b
353,SANDUSDT,850-Sell,2022-04-27 16:00:00,7,Open Short,--,Funding,6840.0,2.523,0.0000,0.00034655,5.98052425,4f31021a
354,BTCUSDT,850-Sell,2022-04-27 16:00:00,7,Open Short,--,Funding,0.922,39003.67,0.00,7e-07,0.02517297,05397816
355,BTCUSDT,850-Sell,2022-04-27 08:00:00,7,Open Short,--,Funding,0.922,39033.25,0.00,-4.173e-05,-1.50180663,0ad98eca
356,SANDUSDT,850-Sell,2022-04-27 08:00:00,7,Open Short,--,Funding,6840.0,2.5604,0.0000,0.00018438,3.22907202,b354fabd
357,BTCUSDT,850-Sell,2022-04-27 00:00:00,7,Open Short,--,Funding,0.922,38113.44,0.00,-0.0001,-3.51405916,34fda860
358,SANDUSDT,850-Sell,2022-04-27 00:00:00,7,Open Short,--,Funding,6840.0,2.4789,0.0000,-0.0001,-1.6955676,7a039369
359,LTCUSDT,66cc3c2b,2022-04-26 23:18:13,7,Close Short,Market,Trade,44.9,97.18,Market,0.0006,2.6180292,d549cc2c
360,LTCUSDT,66cc3c2b,2022-04-26 23:18:13,7,Close Short,Market,Trade,98.6,97.18,Market,0.0006,5.7491688,27f920cc
361,LTCUSDT,66cc3c2b,2022-04-26 23:18:13,7,Close Short,Market,Trade,2.4,97.18,Market,0.0006,0.1399392,a588e2fc
362,LTCUSDT,66cc3c2b,2022-04-26 23:18:13,7,Close Short,Market,Trade,19.1,97.18,Market,0.0006,1.1136828,c24c8444
363,LTCUSDT,66cc3c2b,2022-04-26 23:18:13,7,Close Short,Market,Trade,7.8,97.17,Market,0.0006,0.4547556,9b0029a0
364,LTCUSDT,66cc3c2b,2022-04-26 23:18:13,7,Close Short,Market,Trade,6.4,97.17,Market,0.0006,0.3731328,e55dd6ee
365,LTCUSDT,66cc3c2b,2022-04-26 23:18:13,7,Close Short,Market,Trade,7.2,97.17,Market,0.0006,0.4197744,125db41a
366,LTCUSDT,66cc3c2b,2022-04-26 23:18:13,7,Close Short,Market,Trade,2.9,97.17,Market,0.0006,0.1690758,546b5fd9
367,LTCUSDT,66cc3c2b,2022-04-26 23:18:13,7,Close Short,Market,Trade,3.0,97.16,Market,0.0006,0.174888,b820b605
368,LTCUSDT,66cc3c2b,2022-04-26 23:18:13,7,Close Short,Market,Trade,2.5,97.15,Market,0.0006,0.145725,cb137412
369,LTCUSDT,66cc3c2b,2022-04-26 23:18:13,7,Close Short,Market,Trade,2.5,97.15,Market,0.0006,0.145725,9056bebc
370,LTCUSDT,66cc3c2b,2022-04-26 23:18:13,7,Close Short,Market,Trade,1.6,97.15,Market,0.0006,0.093264,909ed04e
371,LTCUSDT,66cc3c2b,2022-04-26 23:18:13,7,Close Short,Market,Trade,13.0,97.14,Market,0.0006,0.757692,e8391c23
372,LTCUSDT,66cc3c2b,2022-04-26 23:18:13,7,Close Short,Market,Trade,4.4,97.14,Market,0.0006,0.2564496,4eeb9daa
373,LTCUSDT,66cc3c2b,2022-04-26 23:18:13,7,Close Short,Market,Trade,5.2,97.14,Market,0.0006,0.3030768,56df1c21
374,LTCUSDT,66cc3c2b,2022-04-26 23:18:13,7,Close Short,Market,Trade,2.2,97.13,Market,0.0006,0.1282116,0ee64430
375,LTCUSDT,66cc3c2b,2022-04-26 23:18:13,7,Close Short,Market,Trade,0.5,97.13,Market,0.0006,0.029139,ec95435d
376,LTCUSDT,66cc3c2b,2022-04-26 23:18:13,7,Close Short,Market,Trade,0.4,97.11,Market,0.0006,0.0233064,40dd0cd2
377,LTCUSDT,66cc3c2b,2022-04-26 23:18:13,7,Close Short,Market,Trade,24.0,97.11,Market,0.0006,1.398384,69c4ef34
378,LTCUSDT,66cc3c2b,2022-04-26 23:18:13,7,Close Short,Market,Trade,24.0,97.09,Market,0.0006,1.398096,97346cdd
379,LTCUSDT,66cc3c2b,2022-04-26 23:18:13,7,Close Short,Market,Trade,17.4,97.09,Market,0.0006,1.0136196,a20fb198
380,BTCUSDT,850-Sell,2022-04-26 16:00:00,7,Open Short,--,Funding,0.922,38564.74,0.00,-0.0001,-3.55566902,5a8ce38a
381,SANDUSDT,850-Sell,2022-04-26 16:00:00,7,Open Short,--,Funding,6840.0,2.5629,0.0000,-0.0001,-1.7530236,342b9249
382,LTCUSDT,850-Sell,2022-04-26 16:00:00,7,Open Short,--,Funding,290.0,100.45,0.00,-0.0001,-2.91305,d889ba7f
383,LTCUSDT,850-Sell,2022-04-26 08:00:00,7,Open Short,--,Funding,290.0,104.03,0.00,-0.0001,-3.01687,796255ca
384,BTCUSDT,850-Sell,2022-04-26 08:00:00,7,Open Short,--,Funding,0.922,40584.2,0.00,-0.0001,-3.74186324,23d4574b
385,SANDUSDT,850-Sell,2022-04-26 08:00:00,7,Open Short,--,Funding,6840.0,2.7014,0.0000,6.062e-05,1.12011066,5e563c6b
386,SANDUSDT,850-Sell,2022-04-26 00:00:00,7,Open Short,--,Funding,6840.0,2.7172,0.0000,-0.0001,-1.8585648,f629a061
387,BTCUSDT,850-Sell,2022-04-26 00:00:00,7,Open Short,--,Funding,0.922,40426.3,0.00,-3.481e-05,-1.29747482,1fef28b2
388,LTCUSDT,850-Sell,2022-04-26 00:00:00,7,Open Short,--,Funding,290.0,104.56,0.00,3.792e-05,1.14982541,5bd049b1
389,SANDUSDT,9171777b,2022-04-25 18:53:12,7,Open Short,Limit,Trade,1810.0,2.69,2.6900,0.0001,0.48689,3dd7a0de
390,SANDUSDT,9171777b,2022-04-25 18:53:12,7,Open Short,Limit,Trade,1949.0,2.69,2.6900,0.0001,0.524281,58ac2d6f
391,SANDUSDT,9171777b,2022-04-25 18:53:12,7,Open Short,Limit,Trade,3081.0,2.69,2.6900,0.0001,0.828789,7b8a0318
392,LUNAUSDT,9984e690,2022-04-25 16:13:35,7,Close Short,Market,Trade,12.5,94.235,Market,0.0006,0.7067625,e9be135d
393,LUNAUSDT,9984e690,2022-04-25 16:13:35,7,Close Short,Market,Trade,184.6,94.235,Market,0.0006,10.4374686,a4c55396
394,LUNAUSDT,9984e690,2022-04-25 16:13:35,7,Close Short,Market,Trade,10.5,94.14,Market,0.0006,0.593082,95a9af0d
395,LUNAUSDT,850-Sell,2022-04-25 16:00:00,7,Open Short,--,Funding,207.6,92.249,0.000,0.00017891,3.42628616,2778109a
396,BTCUSDT,850-Sell,2022-04-25 16:00:00,7,Open Short,--,Funding,0.922,38978.42,0.00,-7.912e-05,-2.84342272,baa3be21
397,LTCUSDT,850-Sell,2022-04-25 16:00:00,7,Open Short,--,Funding,290.0,101.87,0.00,-0.0001,-2.95423,d5146a23
398,DOGEUSDT,bf8e4d35,2022-04-25 11:59:05,10,Close Short,Market,Trade,74429.0,0.139,Market,0.0006,6.2073786,82248f63
399,DOGEUSDT,bf8e4d35,2022-04-25 11:59:05,10,Close Short,Market,Trade,100000.0,0.139,Market,0.0006,8.34,59e518cd
400,DOGEUSDT,bf8e4d35,2022-04-25 11:59:05,10,Close Short,Market,Trade,25571.0,0.139,Market,0.0006,2.1326214,445389c2
401,DOGEUSDT,0caec7c8,2022-04-25 11:35:53,10,Open Short,Limit,Trade,90705.0,0.1358,0.1358,0.0001,1.2317739,4f2eebbc
402,DOGEUSDT,0caec7c8,2022-04-25 11:35:51,10,Open Short,Limit,Trade,3640.0,0.1358,0.1358,0.0001,0.0494312,8eee0323
403,DOGEUSDT,0caec7c8,2022-04-25 11:35:50,10,Open Short,Limit,Trade,2582.0,0.1358,0.1358,0.0001,0.03506356,ff454de7
404,DOGEUSDT,0caec7c8,2022-04-25 11:35:50,10,Open Short,Limit,Trade,1.0,0.1358,0.1358,0.0001,1.358e-05,26e76e9f
405,DOGEUSDT,0caec7c8,2022-04-25 11:35:50,10,Open Short,Limit,Trade,1797.0,0.1358,0.1358,0.0001,0.02440326,caf6a1c0
406,DOGEUSDT,0caec7c8,2022-04-25 11:35:49,10,Open Short,Limit,Trade,200.0,0.1358,0.1358,0.0001,0.002716,db6af626
407,DOGEUSDT,0caec7c8,2022-04-25 11:35:48,10,Open Short,Limit,Trade,7758.0,0.1358,0.1358,0.0001,0.10535364,863e847d
408,DOGEUSDT,0caec7c8,2022-04-25 11:35:34,10,Open Short,Limit,Trade,4056.0,0.1358,0.1358,0.0001,0.05508048,2adc07df
409,DOGEUSDT,0caec7c8,2022-04-25 11:35:34,10,Open Short,Limit,Trade,2778.0,0.1358,0.1358,0.0001,0.03772524,9f994798
410,DOGEUSDT,0caec7c8,2022-04-25 11:35:34,10,Open Short,Limit,Trade,15677.0,0.1358,0.1358,0.0001,0.21289366,2dd805e2
